ID,Leaf.1.adjusted,Leaf.2.adjusted,Leaf.3.adjusted,neg_recip_L1_adj,neg_recip_L2_adj,neg_recip_L3_adj,Internode_1_day_21,Internode_2_day_21,Internode_3_day_21,Height_mm_day_21,Number_leaves_day_21,Day_germ,Ever_flowered,more_than_one_flower_per_day,flowers_per_day_greater_than_one,more_than_one_flower_on_cyme,flowers_per_cyme_greater_than_one,TwoOrMore,ThreeOrMore,Color_numeric,Cyme_length,flowers_per_day,Flowers_buds_on_cymepeduncle,Cor_Length,Cor_tissue_Length,Cor_Width,L_over_W,LV_over_L,Style_Length,Anther_stigma_position,Nectar.volume.uL,LnNectaruLPlusOne,n_flowers,Pollen_per_flower,avg.number,avg.size,Sterility
F2_020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2_021,9,11,14,-0.111111111111111,-0.0909090909090909,-0.0714285714285714,9,16,93,540,9,133.428571428571,1,1,1.71428571428571,1,1.57142857142857,1,1,1,29.0857142857143,1.71428571428571,1.57142857142857,27.5285714285714,31.0857142857143,20.4571428571429,1.34895764643041,1.13003857327516,14.8714285714286,0,0.075398223686155,0.0726910336217166,7,28.75,238,72.82066723,0
F2_022,8,9,12,-0.125,-0.111111111111111,-0.0833333333333333,7,25,51,385,9,192.8,1,1,1.2,0,NA,1,1,1,11.12,1.2,1,26.86,30.3,19.92,1.35471060556677,1.12744598581624,15.9,0.4,0,0,5,NA,NA,NA,1
F2_023,8,10,13,-0.125,-0.1,-0.0769230769230769,10,6,52,637,11,75,1,0,NA,0,NA,0,0,1,18,1,1,22,25,15,1.46666666666667,1.13636363636364,13,0,0,0,1,NA,NA,NA,0
F2_024,8,10,12,-0.125,-0.1,-0.0833333333333333,9,14,70,830,10,80.1428571428579,1,1,1.57142857142857,1,1.57142857142857,1,1,0,34.9142857142857,1.57142857142857,1.57142857142857,27.7571428571429,32,20.2285714285714,1.40065252524054,1.14099117327512,17.1571428571429,0.0714285714285714,0.669608034165139,0.512588888799187,7,537.5,441,77.61129791,0
F2_025,8,10,12,-0.125,-0.1,-0.0833333333333333,13,6,32,662,10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
F2_026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2_027,8,11,13,-0.125,-0.0909090909090909,-0.0769230769230769,11,27,88,402,8,117,1,1,1.2,1,2.2,1,1,1,28.42,1.2,2.2,25.4,30,20.88,1.21900456281669,1.18182892387012,16.6,0.2,0.216141574566978,0.195683203220048,5,387.5,477,74.79271509,0
F2_028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2_029,8,10,12,-0.125,-0.1,-0.0833333333333333,12,15,71,705,9,117.4,1,1,1.8,1,2.6,1,1,0,33.9,1.8,2.6,26.08,30.46,22.18,1.18120701552906,1.16977521412722,15.98,0,0.24630086404144,0.22017985513523,5,668.75,314,77.11242074,0
